Date,Category,ExpenseAmount
01 January 2021,Allowance,8000
01 January 2021,Food,85
03 January 2021,Other,500
03 January 2021,Household,6667
03 January 2021,Transportation,30
03 January 2021,Food,78
12 January 2021,Food,1460
13 January 2021,Transportation,43
13 January 2021,Food,66
14 January 2021,Other,340
15 January 2021,Other,1500
15 January 2021,Food,70
17 January 2021,Food,1100
18 January 2021,Food,148
18 January 2021,Food,59
18 January 2021,Food,301.15
19 January 2021,Food,171
21 January 2021,Other,200
21 January 2021,Food,37
21 January 2021,Food,188
23 January 2021,Other,2000
23 January 2021,Food,176
23 January 2021,apparel,200
23 January 2021,Other,310
25 January 2021,Food,18
26 January 2021,Food,25
26 January 2021,Other,125
26 January 2021,Food,115
27 January 2021,salary,55000
27 January 2021,Food,279
27 January 2021,Other,1100
28 January 2021,Food,138
28 January 2021,Food,10
29 January 2021,Other,100
30 January 2021,Food,105
30 January 2021,Food,120
30 January 2021,Food,155
31 January 2021,Other,200
01 February 2021,Transportation,725
01 February 2021,Food,200
01 February 2021,Other,8
02 February 2021,Food,120
03 February 2021,Food,50
13 February 2021,apparel,100
16 February 2021,Food,475
16 February 2021,Food,165
17 February 2021,Food,80
18 February 2021,Food,348
19 February 2021,Transportation,2709
19 February 2021,Other,50
19 February 2021,Transportation,60
19 February 2021,Transportation,1575
19 February 2021,Food,250
19 February 2021,Food,111
20 February 2021,Food,200
21 February 2021,Transportation,201.8
21 February 2021,Household,3336
21 February 2021,Transportation,1300
23 February 2021,Food,83
23 February 2021,Apparel,3999
24 February 2021,Food,289
26 February 2021,Food,84
26 February 2021,Other,100
27 February 2021,Food,243
28 February 2021,salary,55000
28 February 2021,Food,339.15
01 March 2021,Other,300
01 March 2021,Food,300
01 March 2021,Other,1140
01 March 2021,Other,201
01 March 2021,Food,10
02 March 2021,Other,150
02 March 2021,Food,50
15 March 2021,Transportation,1365
21 March 2021,salary,55000
22 March 2021,Household,5120
23 March 2021,Apparel,3997
31 March 2021,Transportation,153
01 April 2021,Food,107
01 April 2021,Other,80
01 April 2021,Food,106
01 April 2021,Education,14000
03 April 2021,Other,300
19 April 2021,Transportation,200
19 April 2021,Food,380
21 April 2021,Salary,55000
22 April 2021,Household,5180
